year  gender  rank  name
1997  female  5     Hannah
1997  male    1     Michael
1997  male    2     Jacob
1997  male    3     Matthew
1997  male    4     Christopher
1997  male    5     Joshua
1996  female  1     Emily
1996  female  2     Jessica
1996  female  3     Ashley
1996  female  4     Sarah
1996  female  5     Samantha
1996  male    1     Michael
1996  male    2     Matthew
1996  male    3     Jacob
1996  male    4     Christopher
1996  male    5     Joshua
1995  female  1     Jessica
1995  female  2     Ashley
1995  female  3     Emily
1995  female  4     Samantha
1995  female  5     Sarah
1995  male    1     Michael
1995  male    2     Matthew
1995  male    3     Christopher
1995  male    4     Jacob
1995  male    5     Joshua
1994  female  1     Jessica
1994  female  2     Ashley
1994  female  3     Emily
1994  female  4     Samantha
1994  female  5     Sarah
1994  male    1     Michael
1994  male    2     Christopher
1994  male    3     Matthew
1994  male    4     Joshua
1994  male    5     Tyler
1993  female  1     Jessica
1993  female  2     Ashley
1993  female  3     Sarah
1993  female  4     Samantha
1993  female  5     Emily
1993  male    1     Michael
1993  male    2     Christopher
1993  male    3     Matthew
1993  male    4     Joshua
1993  male    5     Tyler
1992  female  1     Ashley
1992  female  2     Jessica
1992  female  3     Amanda
1992  female  4     Brittany
1992  female  5     Sarah
1992  male    1     Michael
1992  male    2     Christopher
1992  male    3     Matthew
1992  male    4     Joshua
1992  male    5     Andrew
1991  female  1     Ashley
1991  female  2     Jessica
1991  female  3     Brittany
1991  female  4     Amanda
1991  female  5     Samantha
1991  male    1     Michael
1991  male    2     Christopher
1991  male    3     Matthew
1991  male    4     Joshua
1991  male    5     Andrew
1990  female  1     Jessica
1990  female  2     Ashley
1990  female  3     Brittany
1990  female  4     Amanda
1990  female  5     Samantha
1990  male    1     Michael
1990  male    2     Christopher
1990  male    3     Matthew
1990  male    4     Joshua
1990  male    5     Daniel
1989  female  1     Jessica
1989  female  2     Ashley
1989  female  3     Brittany
1989  female  4     Amanda
1989  female  5     Sarah
1989  male    1     Michael
1989  male    2     Christopher
1989  male    3     Matthew
1989  male    4     Joshua
1989  male    5     David
1988  female  1     Jessica
1988  female  2     Ashley
1988  female  3     Amanda
1988  female  4     Sarah
1988  female  5     Jennifer
1988  male    1     Michael
1988  male    2     Christopher
1988  male    3     Matthew
1988  male    4     Joshua
1988  male    5     Andrew
1987  female  1     Jessica
1987  female  2     Ashley
1987  female  3     Amanda
1987  female  4     Jennifer
1987  female  5     Sarah
1987  male    1     Michael
1987  male    2     Christopher
1987  male    3     Matthew
1987  male    4     Joshua
1987  male    5     David
1986  female  1     Jessica
1986  female  2     Ashley
1986  female  3     Amanda
1986  female  4     Jennifer
1986  female  5     Sarah
1986  male    1     Michael
1986  male    2     Christopher
1986  male    3     Matthew
1986  male    4     Joshua
1986  male    5     David
1985  female  1     Jessica
1985  female  2     Ashley
1985  female  3     Jennifer
1985  female  4     Amanda
1985  female  5     Sarah
1985  male    1     Michael
1985  male    2     Christopher
1985  male    3     Matthew
1985  male    4     Joshua
1985  male    5     Daniel
1984  female  1     Jennifer
1984  female  2     Jessica
1984  female  3     Ashley
1984  female  4     Amanda
1984  female  5     Sarah
1984  male    1     Michael
1984  male    2     Christopher
1984  male    3     Matthew
1984  male    4     Joshua
1984  male    5     David
1983  female  1     Jennifer
1983  female  2     Jessica
1983  female  3     Amanda
1983  female  4     Ashley
1983  female  5     Sarah
1983  male    1     Michael
1983  male    2     Christopher
1983  male    3     Matthew
1983  male    4     David
1983  male    5     Joshua
1982  female  1     Jennifer
1982  female  2     Jessica
1982  female  3     Amanda
1982  female  4     Sarah
1982  female  5     Melissa
1982  male    1     Michael
1982  male    2     Christopher
1982  male    3     Matthew
1982  male    4     Jason
1982  male    5     David
1981  female  1     Jennifer
1981  female  2     Jessica
1981  female  3     Amanda
1981  female  4     Sarah
1981  female  5     Melissa
1981  male    1     Michael
1981  male    2     Christopher
1981  male    3     Matthew
1981  male    4     Jason
1981  male    5     David
1980  female  1     Jennifer
1980  female  2     Amanda
1980  female  3     Jessica
1980  female  4     Melissa
1980  female  5     Sarah
1980  male    1     Michael
1980  male    2     Christopher
1980  male    3     Jason
1980  male    4     David
1980  male    5     James
1979  female  1     Jennifer
1979  female  2     Melissa
1979  female  3     Amanda
1979  female  4     Jessica
1979  female  5     Amy
1979  male    1     Michael
1979  male    2     Christopher
1979  male    3     Jason
1979  male    4     David
1979  male    5     James
1978  female  1     Jennifer
1978  female  2     Melissa
1978  female  3     Jessica
1978  female  4     Amy
1978  female  5     Heather
1978  male    1     Michael
1978  male    2     Jason
1978  male    3     Christopher
1978  male    4     David
1978  male    5     James
1977  female  1     Jennifer
1977  female  2     Melissa
1977  female  3     Amy
1977  female  4     Jessica
1977  female  5     Heather
1977  male    1     Michael
1977  male    2     Jason
1977  male    3     Christopher
1977  male    4     David
1977  male    5     James
1976  female  1     Jennifer
1976  female  2     Amy
1976  female  3     Melissa
1976  female  4     Heather
1976  female  5     Angela
1976  male    1     Michael
1976  male    2     Jason
1976  male    3     Christopher
1976  male    4     David
1976  male    5     James
1975  female  1     Jennifer
1975  female  2     Amy
1975  female  3     Heather
1975  female  4     Melissa
1975  female  5     Angela
1975  male    1     Michael
1975  male    2     Jason
1975  male    3     Christopher
1975  male    4     James
1975  male    5     David
1974  female  1     Jennifer
1974  female  2     Amy
1974  female  3     Michelle
1974  female  4     Heather
1974  female  5     Angela
1974  male    1     Michael
1974  male    2     Jason
1974  male    3     Christopher
1974  male    4     David
1974  male    5     James
1973  female  1     Jennifer
1973  female  2     Amy
1973  female  3     Michelle
1973  female  4     Kimberly
1973  female  5     Lisa
1973  male    1     Michael
1973  male    2     Christopher
1973  male    3     Jason
1973  male    4     James
1973  male    5     David
1972  female  1     Jennifer
1972  female  2     Michelle
1972  female  3     Lisa
1972  female  4     Kimberly
1972  female  5     Amy
1972  male    1     Michael
1972  male    2     Christopher
1972  male    3     James
1972  male    4     David
1972  male    5     John
1971  female  1     Jennifer
1971  female  2     Michelle
1971  female  3     Lisa
1971  female  4     Kimberly
1971  female  5     Amy
1971  male    1     Michael
1971  male    2     James
1971  male    3     David
1971  male    4     John
1971  male    5     Robert
1970  female  1     Jennifer
1970  female  2     Lisa
1970  female  3     Kimberly
1970  female  4     Michelle
1970  female  5     Amy
1970  male    1     Michael
1970  male    2     James
1970  male    3     David
1970  male    4     John
1970  male    5     Robert
1969  female  1     Lisa
1969  female  2     Michelle
1969  female  3     Jennifer
1969  female  4     Kimberly
1969  female  5     Melissa
1969  male    1     Michael
1969  male    2     David
1969  male    3     James
1969  male    4     John
1969  male    5     Robert
1968  female  1     Lisa
1968  female  2     Michelle
1968  female  3     Kimberly
1968  female  4     Jennifer
1968  female  5     Melissa
1968  male    1     Michael
1968  male    2     David
1968  male    3     John
1968  male    4     James
1968  male    5     Robert
1967  female  1     Lisa
1967  female  2     Kimberly
1967  female  3     Michelle
1967  female  4     Mary
1967  female  5     Susan
1967  male    1     Michael
1967  male    2     David
1967  male    3     James
1967  male    4     John
1967  male    5     Robert
1966  female  1     Lisa
1966  female  2     Kimberly
1966  female  3     Mary
1966  female  4     Michelle
1966  female  5     Karen
1966  male    1     Michael
1966  male    2     David
1966  male    3     James
1966  male    4     John
1966  male    5     Robert
1965  female  1     Lisa
1965  female  2     Mary
1965  female  3     Karen
1965  female  4     Kimberly
1965  female  5     Susan
1965  male    1     Michael
1965  male    2     John
1965  male    3     David
1965  male    4     James
1965  male    5     Robert
1964  female  1     Lisa
1964  female  2     Mary
1964  female  3     Susan
1964  female  4     Karen
1964  female  5     Patricia
1964  male    1     Michael
1964  male    2     John
1964  male    3     David
1964  male    4     James
1964  male    5     Robert
1963  female  1     Lisa
1963  female  2     Mary
1963  female  3     Susan
1963  female  4     Karen
1963  female  5     Linda
1963  male    1     Michael
1963  male    2     John
1963  male    3     David
1963  male    4     James
1963  male    5     Robert
1962  female  1     Lisa
1962  female  2     Mary
1962  female  3     Susan
1962  female  4     Karen
1962  female  5     Linda
1962  male    1     Michael
1962  male    2     David
1962  male    3     John
1962  male    4     James
1962  male    5     Robert
1961  female  1     Mary
1961  female  2     Lisa
1961  female  3     Susan
1961  female  4     Linda
1961  female  5     Karen
1961  male    1     Michael
1961  male    2     David
1961  male    3     John
1961  male    4     James
1961  male    5     Robert
1960  female  1     Mary
1960  female  2     Susan
1960  female  3     Linda
1960  female  4     Karen
1960  female  5     Donna
1960  male    1     David
1960  male    2     Michael
1960  male    3     James
1960  male    4     John
1960  male    5     Robert
1959  female  1     Mary
1959  female  2     Susan
1959  female  3     Linda
1959  female  4     Karen
1959  female  5     Donna
1959  male    1     Michael
1959  male    2     David
1959  male    3     James
1959  male    4     John
1959  male    5     Robert
1958  female  1     Mary
1958  female  2     Susan
1958  female  3     Linda
1958  female  4     Karen
1958  female  5     Patricia
1958  male    1     Michael
1958  male    2     David
1958  male    3     James
1958  male    4     Robert
1958  male    5     John
1957  female  1     Mary
1957  female  2     Susan
1957  female  3     Linda
1957  female  4     Debra
1957  female  5     Karen
1957  male    1     Michael
1957  male    2     James
1957  male    3     David
1957  male    4     Robert
1957  male    5     John
1956  female  1     Mary
1956  female  2     Debra
1956  female  3     Linda
1956  female  4     Deborah
1956  female  5     Susan
1956  male    1     Michael
1956  male    2     James
1956  male    3     Robert
1956  male    4     David
1956  male    5     John
1955  female  1     Mary
1955  female  2     Deborah
1955  female  3     Linda
1955  female  4     Debra
1955  female  5     Susan
1955  male    1     Michael
1955  male    2     David
1955  male    3     James
1955  male    4     Robert
1955  male    5     John
1954  female  1     Mary
1954  female  2     Linda
1954  female  3     Deborah
1954  female  4     Patricia
1954  female  5     Susan
1954  male    1     Michael
1954  male    2     James
1954  male    3     Robert
1954  male    4     John
1954  male    5     David
1953  female  1     Mary
1953  female  2     Linda
1953  female  3     Deborah
1953  female  4     Patricia
1953  female  5     Susan
1953  male    1     Robert
1953  male    2     James
1953  male    3     Michael
1953  male    4     John
1953  male    5     David
1952  female  1     Linda
1952  female  2     Mary
1952  female  3     Patricia
1952  female  4     Deborah
1952  female  5     Susan
1952  male    1     James
1952  male    2     Robert
1952  male    3     John
1952  male    4     Michael
1952  male    5     David
1951  female  1     Linda
1951  female  2     Mary
1951  female  3     Patricia
1951  female  4     Deborah
1951  female  5     Barbara
1951  male    1     James
1951  male    2     Robert
1951  male    3     John
1951  male    4     Michael
1951  male    5     David
1950  female  1     Linda
1950  female  2     Mary
1950  female  3     Patricia
1950  female  4     Barbara
1950  female  5     Susan
1950  male    1     James
1950  male    2     Robert
1950  male    3     John
1950  male    4     Michael
1950  male    5     David
1949  female  1     Linda
1949  female  2     Mary
1949  female  3     Patricia
1949  female  4     Barbara
1949  female  5     Susan
1949  male    1     James
1949  male    2     Robert
1949  male    3     John
1949  male    4     William
1949  male    5     Michael
1948  female  1     Linda
1948  female  2     Mary
1948  female  3     Barbara
1948  female  4     Patricia
1948  female  5     Susan
1948  male    1     James
1948  male    2     Robert
1948  male    3     John
1948  male    4     William
1948  male    5     David
1947  female  1     Linda
1947  female  2     Mary
1947  female  3     Patricia
1947  female  4     Barbara
1947  female  5     Sandra
1947  male    1     James
1947  male    2     Robert
1947  male    3     John
1947  male    4     William
1947  male    5     Richard
1946  female  1     Mary
1946  female  2     Linda
1946  female  3     Patricia
1946  female  4     Barbara
1946  female  5     Carol
1946  male    1     James
1946  male    2     Robert
1946  male    3     John
1946  male    4     William
1946  male    5     Richard
1945  female  1     Mary
1945  female  2     Linda
1945  female  3     Barbara
1945  female  4     Patricia
1945  female  5     Carol
1945  male    1     James
1945  male    2     Robert
1945  male    3     John
1945  male    4     William
1945  male    5     Richard
1944  female  1     Mary
1944  female  2     Barbara
1944  female  3     Linda
1944  female  4     Patricia
1944  female  5     Carol
1944  male    1     James
1944  male    2     Robert
1944  male    3     John
1944  male    4     William
1944  male    5     Richard
1943  female  1     Mary
1943  female  2     Barbara
1943  female  3     Patricia
1943  female  4     Linda
1943  female  5     Carol
1943  male    1     James
1943  male    2     Robert
1943  male    3     John
1943  male    4     William
1943  male    5     Richard
1942  female  1     Mary
1942  female  2     Barbara
1942  female  3     Patricia
1942  female  4     Linda
1942  female  5     Carol
1942  male    1     James
1942  male    2     Robert
1942  male    3     John
1942  male    4     William
1942  male    5     Richard
1941  female  1     Mary
1941  female  2     Barbara
1941  female  3     Patricia
1941  female  4     Carol
1941  female  5     Linda
1941  male    1     James
1941  male    2     Robert
1941  male    3     John
1941  male    4     William
1941  male    5     Richard
1940  female  1     Mary
1940  female  2     Barbara
1940  female  3     Patricia
1940  female  4     Judith
1940  female  5     Betty
1940  male    1     James
1940  male    2     Robert
1940  male    3     John
1940  male    4     William
1940  male    5     Richard
1939  female  1     Mary
1939  female  2     Barbara
1939  female  3     Patricia
1939  female  4     Betty
1939  female  5     Shirley
1939  male    1     Robert
1939  male    2     James
1939  male    3     John
1939  male    4     William
1939  male    5     Richard
1938  female  1     Mary
1938  female  2     Barbara
1938  female  3     Patricia
1938  female  4     Betty
1938  female  5     Shirley
1938  male    1     Robert
1938  male    2     James
1938  male    3     John
1938  male    4     William
1938  male    5     Richard
1937  female  1     Mary
1937  female  2     Barbara
1937  female  3     Patricia
1937  female  4     Shirley
1937  female  5     Betty
1937  male    1     Robert
1937  male    2     James
1937  male    3     John
1937  male    4     William
1937  male    5     Richard
1936  female  1     Mary
1936  female  2     Shirley
1936  female  3     Barbara
1936  female  4     Betty
1936  female  5     Patricia
1936  male    1     Robert
1936  male    2     James
1936  male    3     John
1936  male    4     William
1936  male    5     Richard
1935  female  1     Mary
1935  female  2     Shirley
1935  female  3     Barbara
1935  female  4     Betty
1935  female  5     Patricia
1935  male    1     Robert
1935  male    2     James
1935  male    3     John
1935  male    4     William
1935  male    5     Richard
1934  female  1     Mary
1934  female  2     Betty
1934  female  3     Barbara
1934  female  4     Shirley
1934  female  5     Dorothy
1934  male    1     Robert
1934  male    2     James
1934  male    3     John
1934  male    4     William
1934  male    5     Richard
1933  female  1     Mary
1933  female  2     Betty
1933  female  3     Barbara
1933  female  4     Dorothy
1933  female  5     Joan
1933  male    1     Robert
1933  male    2     James
1933  male    3     John
1933  male    4     William
1933  male    5     Richard
1932  female  1     Mary
1932  female  2     Betty
1932  female  3     Barbara
1932  female  4     Dorothy
1932  female  5     Joan
1932  male    1     Robert
1932  male    2     James
1932  male    3     John
1932  male    4     William
1932  male    5     Richard
1931  female  1     Mary
1931  female  2     Betty
1931  female  3     Dorothy
1931  female  4     Barbara
1931  female  5     Joan
1931  male    1     Robert
1931  male    2     James
1931  male    3     John
1931  male    4     William
1931  male    5     Richard
1930  female  1     Mary
1930  female  2     Betty
1930  female  3     Dorothy
1930  female  4     Helen
1930  female  5     Margaret
1930  male    1     Robert
1930  male    2     James
1930  male    3     John
1930  male    4     William
1930  male    5     Richard
1929  female  1     Mary
1929  female  2     Betty
1929  female  3     Dorothy
1929  female  4     Helen
1929  female  5     Margaret
1929  male    1     Robert
1929  male    2     James
1929  male    3     John
1929  male    4     William
1929  male    5     Charles
1928  female  1     Mary
1928  female  2     Betty
1928  female  3     Dorothy
1928  female  4     Helen
1928  female  5     Margaret
1928  male    1     Robert
1928  male    2     John
1928  male    3     James
1928  male    4     William
1928  male    5     Charles
1927  female  1     Mary
1927  female  2     Dorothy
1927  female  3     Betty
1927  female  4     Helen
1927  female  5     Margaret
1927  male    1     Robert
1927  male    2     John
1927  male    3     James
1927  male    4     William
1927  male    5     Charles
1926  female  1     Mary
1926  female  2     Dorothy
1926  female  3     Betty
1926  female  4     Helen
1926  female  5     Margaret
1926  male    1     Robert
1926  male    2     John
1926  male    3     James
1926  male    4     William
1926  male    5     Charles
1925  female  1     Mary
1925  female  2     Dorothy
1925  female  3     Betty
1925  female  4     Helen
1925  female  5     Margaret
1925  male    1     Robert
1925  male    2     John
1925  male    3     William
1925  male    4     James
1925  male    5     Charles
1924  female  1     Mary
1924  female  2     Dorothy
1924  female  3     Helen
1924  female  4     Betty
1924  female  5     Margaret
1924  male    1     Robert
1924  male    2     John
1924  male    3     William
1924  male    4     James
1924  male    5     Charles
1923  female  1     Mary
1923  female  2     Dorothy
1923  female  3     Helen
1923  female  4     Margaret
1923  female  5     Betty
1923  male    1     John
1923  male    2     Robert
1923  male    3     William
1923  male    4     James
1923  male    5     Charles
1922  female  1     Mary
1922  female  2     Dorothy
1922  female  3     Helen
1922  female  4     Margaret
1922  female  5     Ruth
1922  male    1     John
1922  male    2     Robert
1922  male    3     William
1922  male    4     James
1922  male    5     Charles
1921  female  1     Mary
1921  female  2     Dorothy
1921  female  3     Helen
1921  female  4     Margaret
1921  female  5     Ruth
1921  male    1     John
1921  male    2     Robert
1921  male    3     William
1921  male    4     James
1921  male    5     Charles
1920  female  1     Mary
1920  female  2     Dorothy
1920  female  3     Helen
1920  female  4     Margaret
1920  female  5     Ruth
1920  male    1     John
1920  male    2     William
1920  male    3     Robert
1920  male    4     James
1920  male    5     Charles
1919  female  1     Mary
1919  female  2     Helen
1919  female  3     Dorothy
1919  female  4     Margaret
1919  female  5     Ruth
1919  male    1     John
1919  male    2     William
1919  male    3     James
1919  male    4     Robert
1919  male    5     Charles
1918  female  1     Mary
1918  female  2     Helen
1918  female  3     Dorothy
1918  female  4     Margaret
1918  female  5     Ruth
1918  male    1     John
1918  male    2     William
1918  male    3     James
1918  male    4     Robert
1918  male    5     Charles
